film,director,maleactors,femaleactors
They,Anahita Ghazvinizadeh,11,7
What Remains,Anahita Ghazvinizadeh,3,2
Needle,Anahita Ghazvinizadeh,1,2
Golden Dreams,Agnieszka Holland,17,3
The Wire (2004-2008),Agnieszka Holland,45,5
House of Cards (2015-2017),Agnieszka Holland,30,20
Rosemary's Baby,Agnieszka Holland,29,21
Television Theater,Agnieszka Holland,35,15
Spoor,Agnieszka Holland,19,13
Fever,Agnieszka Holland,37,6
The First,Agnieszka Holland,25,25
"Olivier, Olivier",Agnieszka Holland,10,9
Obrazki z zycia,Agnieszka Holland,35,19
Julie Walking Home,Agnieszka Holland,27,22
Largo desolato,Agnieszka Holland,7,3
Fallen Angels,Agnieszka Holland,31,19
In Darkness,Agnieszka Holland,28,15
Shot in the Heart,Agnieszka Holland,50,12
Washington Square,Agnieszka Holland,22,18
1983,Agnieszka Holland,34,16
The Affair,Agnieszka Holland,27,23
The Killing (2011-2012),Agnieszka Holland,31,19
Culture,Agnieszka Holland,4,1
Mr. Jones,Agnieszka Holland,89,33
Screen Tests,Agnieszka Holland,19,10
Europa Europa,Agnieszka Holland,46,11
Charlatan,Agnieszka Holland,12,4
Angry Harvest,Agnieszka Holland,8,8
Burning Bush,Agnieszka Holland,35,15
Sunday Children,Agnieszka Holland,7,14
To Kill a Priest,Agnieszka Holland,26,8
Copying Beethoven,Agnieszka Holland,14,6
Treme (2010-2013),Agnieszka Holland,37,13
Total Eclipse,Agnieszka Holland,11,8
Something for Something,Agnieszka Holland,5,7
Without Secrets,Agnieszka Holland,24,21
Cold Case (2004-2009),Agnieszka Holland,35,15
Provincial Actors,Agnieszka Holland,22,8
Ekipa,Agnieszka Holland,30,20
The Third Miracle,Agnieszka Holland,35,15
Jesus Christ's Sin,Agnieszka Holland,2,1
Evening at Abdon's,Agnieszka Holland,6,5
Kobieta samotna,Agnieszka Holland,15,12
The Secret Garden,Agnieszka Holland,11,8
The Intruder,Claire Denis,9,6
Voilà l'enchaînement,Claire Denis,1,1
Figaro Story,Claire Denis,1,3
"Cinéma, de notre temps",Claire Denis,39,11
"No Fear, No Die",Claire Denis,9,3
