actor,gender,film,director,year,maleactors,femaleactors
Rhys Fehrenbacher,m,They,Anahita Ghazvinizadeh,2017,11,7
Kooyar Hosseini Golkou,m,They,Anahita Ghazvinizadeh,2017,11,7
Nicole Coffineau,f,They,Anahita Ghazvinizadeh,2017,11,7
Norma Moruzzi,f,They,Anahita Ghazvinizadeh,2017,11,7
Diana Torres,f,They,Anahita Ghazvinizadeh,2017,11,7
Evan Gray,m,They,Anahita Ghazvinizadeh,2017,11,7
Drew Sheil,m,They,Anahita Ghazvinizadeh,2017,11,7
Leyla Mofleh,f,They,Anahita Ghazvinizadeh,2017,11,7
Mohammad Aghebati,m,They,Anahita Ghazvinizadeh,2017,11,7
Alma Sinai,f,They,Anahita Ghazvinizadeh,2017,11,7
Alma Sinai,f,What Remains,Anahita Ghazvinizadeh,2016,3,2
Arian Naghshineh,m,They,Anahita Ghazvinizadeh,2017,11,7
Ava Naghshineh,f,They,Anahita Ghazvinizadeh,2017,11,7
Aerik Jahangiri,m,They,Anahita Ghazvinizadeh,2017,11,7
Farid Kossari,m,They,Anahita Ghazvinizadeh,2017,11,7
Farid Kossari,m,What Remains,Anahita Ghazvinizadeh,2016,3,2
Kaveh Ehsani,m,They,Anahita Ghazvinizadeh,2017,11,7
Robert Garofalo,m,They,Anahita Ghazvinizadeh,2017,11,7
Eric Fehrenbacher,m,They,Anahita Ghazvinizadeh,2017,11,7
Vicki Sheil,f,They,Anahita Ghazvinizadeh,2017,11,7
Rodrigo Brum,m,What Remains,Anahita Ghazvinizadeh,2016,3,2
Kira Sekhar,f,What Remains,Anahita Ghazvinizadeh,2016,3,2
Oliver Shelton,m,What Remains,Anahita Ghazvinizadeh,2016,3,2
Meghan Moe Beitiks,f,Needle,Anahita Ghazvinizadeh,2013,1,2
Noah Lepawsky,m,Needle,Anahita Ghazvinizadeh,2013,1,2
Florence Winners,f,Needle,Anahita Ghazvinizadeh,2013,1,2
Whoopi Goldberg,f,Golden Dreams,Agnieszka Holland,2001,17,3
Whoopi Goldberg,f,When We Rise,Dee Rees,2017,30,20
Whoopi Goldberg,f,The Little Rascals,Penelope Spheeris,1994,40,16
Whoopi Goldberg,f,The Electric Company (2009-2010),Susan Seidelman,2006,35,15
Yasuko Takahara,f,Golden Dreams,Agnieszka Holland,2001,17,3
Richard Balin,m,Golden Dreams,Agnieszka Holland,2001,17,3
Eric Matheny,m,Golden Dreams,Agnieszka Holland,2001,17,3
Mark Neveldine,m,Golden Dreams,Agnieszka Holland,2001,17,3
Mark Neveldine,m,Walking and Talking,Nicole Holofcener,1996,13,14
Lawrence Calvin,m,Golden Dreams,Agnieszka Holland,2001,17,3
Dean Chambers,m,Golden Dreams,Agnieszka Holland,2001,17,3
