film,actor,gender,role,year
There's a Place,Toni Collette,f,Self,2015
There's a Place,Kick Gurry,m,Self,2015
There's a Place,Tyson Ritter,m,Self,2015
Daisies,Jitka Cerhová,f,Marie I,1966
Daisies,Ivana Karbanová,f,Marie II,1966
Daisies,Julius Albert,m,Starsí sveták,1966
Daisies,Jan Klusák,m,Mladý sveták,1966
Daisies,Marie Cesková,f,Zena na toaletách,1966
Daisies,Jirina Myskova,f,Toaletárka,1966
Daisies,Marcela Brezinová,f,Toaletárka,1966
Daisies,Oldrich Hora,m,Sveták,1966
Daisies,Václav Chochola,m,,1966
Daisies,Josef Konícek,m,Tanecník ve vinárne,1966
Daisies,Jaromír Vomácka,m,Veselý pán,1966
Daisies,Jirina Cesková,f,,1966
Daisies,Ester Krumbachová,f,,1966
Daisies,Jaroslav Kucera,m,,1966
Daisies,Jarosmir Kuvacha,m,,1966
Daisies,V. Mysková,f,,1966
L.A. Doctors,Ken Olin,m,Dr. Roger Cattan,1998
L.A. Doctors,Matt Craven,m,Dr. Tim Lonner,1998
L.A. Doctors,Rick Roberts,m,Dr. Evan Newman,1998
L.A. Doctors,Sheryl Lee,f,Dr. Sarah Church,1998
L.A. Doctors,Melora Walters,f,Felicity,1998
L.A. Doctors,Deirdre O'Connell,f,Suzanne Blum,1998
L.A. Doctors,Coby Bell,m,Patrick Owen,1998
L.A. Doctors,Judith Scott,f,Nina,1998
L.A. Doctors,Joseph Ashton,m,Nick Newman,1998
L.A. Doctors,Rebecca Rigg,f,Kelly Newman,1998
L.A. Doctors,Patricia Wettig,f,Eleanor Riggs-Cattan / ...,1998
L.A. Doctors,Talia Balsam,f,Julie Lonner,1998
L.A. Doctors,Will Kempe,m,Steven Church,1998
L.A. Doctors,Jeff Allin,m,Dr. Tom Florin,1998
L.A. Doctors,Rachel Duhame,f,Winnie Newman,1998
L.A. Doctors,Erica Jimenez-Alvarado,f,Eva Lonner,1998
L.A. Doctors,Vanessa Jimenez-Alvarado,f,Christine Lonner,1998
L.A. Doctors,Douglas Roberts,m,Dr. Keith Cutter,1998
L.A. Doctors,Tom Arnold,m,Self / ...,1998
L.A. Doctors,Marita De Leon,f,Rosie,1998
L.A. Doctors,Vanessa Williams,f,Dr. Leanne Barrows,1998
L.A. Doctors,Anna Maria Horsford,f,Angela Daly,1998
L.A. Doctors,Clayton Rohner,m,Warren Spillman,1998
L.A. Doctors,John Gegenhuber,m,Dr. Doug Carter,1998
L.A. Doctors,Ryan Hurst,m,Kevin Raives,1998
L.A. Doctors,Peter Vogt,m,Clifford Raives,1998
L.A. Doctors,Nikita Ager,f,Audrey North,1998
L.A. Doctors,Rae Allen,f,Mildred Cattano,1998
L.A. Doctors,Dion Anderson,m,,1998
L.A. Doctors,Allan Arbus,m,Mr. Mitski,1998
L.A. Doctors,Maggie Baird,f,,1998
L.A. Doctors,Graham Beckel,m,Ron Rowlands,1998
L.A. Doctors,Daniel Beer,m,,1998
L.A. Doctors,Marea Bianchini,f,Reception Nurse,1998
L.A. Doctors,John Billingsley,m,Mr. Snow,1998
L.A. Doctors,Brittany Paige Bouck,f,Daphne Borroughs,1998
L.A. Doctors,Kevin Bourland,m,,1998
L.A. Doctors,David Bowe,m,Robert Brooks,1998
L.A. Doctors,Vincent Bowman,m,Tim,1998
L.A. Doctors,Lombardo Boyar,m,Manny,1998
L.A. Doctors,Roxana Brusso,f,ICU Nurse,1998
L.A. Doctors,Tricia Cast,f,Rebecca Williams,1998
L.A. Doctors,Lonny Chapman,m,,1998
L.A. Doctors,Luis Chávez,m,Orange Vendor,1998
L.A. Doctors,Bill Cobbs,m,Bob,1998
L.A. Doctors,Jasper Cole,m,Patient Zero,1998
L.A. Doctors,Michael Covert,m,Brad,1998
L.A. Doctors,Rick Cramer,m,Hans,1998
L.A. Doctors,Pat Crawford Brown,f,Old Lady Patient,1998
L.A. Doctors,JD Cullum,m,Second Year Resident,1998
Another Country,George Boyle,m,Grandad Evans,1992
Another Country,Amanda Clark,f,Twin 1,1992
Another Country,Nicola Clark,f,Twin 2,1992
Another Country,Hilary Cleary,f,Myra,1992
Another Country,Ann Cockroft,f,Cousin Shirley,1992
Another Country,Michael Cockroft,m,Twin 2,1992
Another Country,Nicholas Cockroft,m,Twin 1,1992
Another Country,Julie Collis,f,Mary,1992
Another Country,Antony Croser,m,Grandad Ben,1992
Another Country,Mike Daly,m,Travel Agent,1992
Another Country,Laurie Dee,m,Uncle Charlie,1992
Another Country,Alistair Douglas,m,Eric,1992
Another Country,Robyn Duncan-Cox,f,Sheryl,1992
Another Country,Ivor Fong,m,Builder,1992
Another Country,Lee-Jane Foreman,f,Emily,1992
Another Country,Sophie Gilbert,f,Graveyard Child,1992
Another Country,Lee Grant,f,Meryl,1992
Another Country,Tina Grenville,f,Irene,1992
Another Country,Ian Harrop,m,Bob,1992
Another Country,Andrea Kelland,f,Cousin Annie,1992
Another Country,Kathleen-Elizabeth Kelly,f,Irene's Mother,1992
Another Country,Brenda Kendall,f,Hannah,1992
Another Country,Yvonne Lawley,f,Blind Woman,1992
Another Country,Madyhan,f,Clarissa the Cat,1992
Another Country,Samantha Morton,f,Mary's Baby,1992
Another Country,Helen Moulder,f,Louise,1992
Another Country,Jim Rawdon,m,Derek,1992
Another Country,Martyn Sanderson,m,Ferg,1992
Another Country,Smiley,m,Ferdie the Dog,1992
Another Country,John Sumner,m,Donald,1992
Another Country,David Taylor,m,Graveyard Child,1992
Another Country,Joel Tobeck,m,Miles,1992
Another Country,Susan Tuialii,f,Graveyard Child,1992
Another Country,Joy Watson,f,Beryl,1992
Material Girls,Hilary Duff,f,Tanzie Marchetta,2006
Material Girls,Haylie Duff,f,Ava Marchetta,2006
Material Girls,Maria Conchita Alonso,f,Inez,2006
Material Girls,Anjelica Huston,f,Fabiella,2006
Material Girls,Brent Spiner,m,Tommy Katzenbach,2006
Material Girls,Lukas Haas,m,Henry Baines,2006
Material Girls,Marcus Coloma,m,Rick,2006
Material Girls,Ty Hodges,m,Etienne,2006
Material Girls,Reagan Dale Neis,f,Jaden,2006
Material Girls,Obba Babatundé,m,Craig,2006
Material Girls,Henry Cho,m,Ned Nakamori,2006
Material Girls,Misti Traya,f,Martinique,2006
Material Girls,Christina R. Copeland,f,Brigitta,2006
Material Girls,Brandon Beemer,m,Mic Rionn,2006
Material Girls,Colleen Camp,f,Charlene,2006
Material Girls,Dennis Lee Kelly,m,Joe Tweeney,2006
Material Girls,Judy Tenuta,f,Margo Thorness,2006
Material Girls,Joanne Baron,f,Gretchen,2006
Material Girls,Faith Prince,f,Pam,2006
Material Girls,Damian d'Entremont,m,Gene,2006
Material Girls,Dot-Marie Jones,f,Butch Brenda,2006
Material Girls,Cheryl Hawker,f,Big Sue,2006
Material Girls,Tanya Alexander,f,LaPorscha,2006
Material Girls,Philip Casnoff,m,Victor Marchetta,2006
Material Girls,Natalie Lander,f,Actress / Model / Whatever,2006
Material Girls,Larry Poindexter,m,Sol,2006
Material Girls,Carl Lewis,m,"""People"" Reporter",2006
Material Girls,Lalena Nash,f,Hotel Receptionist,2006
Material Girls,Timothy Davis-Reed,m,Security Guard,2006
Material Girls,Anthony Crivello,m,Surly Man,2006
Material Girls,Beckie King,f,"Actress in ""Long Island""",2006
Material Girls,Alejandro Rose-Garcia,m,Phone Repairman,2006
Material Girls,Annie McKnight,f,Jailer,2006
Material Girls,Carson Brown,f,Girl at Tribute,2006
Material Girls,Kayla Ewell,f,Fabiella Receptionist,2006
Material Girls,Terri Seymour,f,"""Extra"" Reporter",2006
Material Girls,Suzanne Whang,f,TV News Anchor,2006
Material Girls,Tonya Rowland,f,Fundraiser,2006
Material Girls,Joel Madden,m,Mistaken Valet #1,2006
Material Girls,Benji Madden,m,Mistaken Valet #2,2006
Material Girls,Brad Blumenthal,m,'E' Reporter,2006
Material Girls,Troy Rowland,m,Burly Bouncer,2006
Material Girls,William Barillaro,m,Bus Driver,2006
Material Girls,Miguel A. Gaetan,m,Street Vendor,2006
Material Girls,Jason Huber,m,Photographer,2006
Material Girls,Jaclyn Whitman,f,Jacqueline Tweeney,2006
Material Girls,Cheyenne Haynes,f,Inez's Daughter #1,2006
Material Girls,Andrea Ramírez,f,Inez's Daughter #2,2006
Material Girls,Kim Estes,m,Security Guard,2006
Material Girls,Darcy Halsey,f,Second Scarred Woman,2006
Material Girls,Kristen Hagen,f,Gossip Weekly Reporter,2006
Material Girls,Charlie Pineda,m,Reporter,2006
Material Girls,Richard Harter,m,Creep on the bus,2006
Material Girls,Perla Liberatori,f,Tanzania Marchetta,2006
Material Girls,Christina Romero Mollison,f,Business Associate,2006
Material Girls,Chris Blount,m,Boy at Tribute,2006
Material Girls,Gina Fricchione,f,Board of Director,2006
Material Girls,Michael Lugenbuehl,m,Swedish Masseuse,2006
Material Girls,Albert Malafronte,m,Nelson,2006
Material Girls,Dee Mas,f,Club Goer,2006
Material Girls,Eduardo Renta,m,Fabiela's Ex.,2006
Material Girls,Keith E. Smith,m,Tribute Dinner Security,2006
Material Girls,Breanna Startzel,f,Woman at the Party,2006
Material Girls,Rochelle Warner,f,Reporter,2006
Hotheads,Diane Dimassa,,Self,1993
Hotheads,Reno,f,Self,1993
Real Women Have Curves,America Ferrera,f,Ana Garcia,2002
Real Women Have Curves,Lupe Ontiveros,f,Carmen Garcia,2002
Real Women Have Curves,Ingrid Oliu,f,Estela Garcia,2002
Real Women Have Curves,George Lopez,m,Mr. Guzman,2002
Real Women Have Curves,Brian Sites,m,Jimmy,2002
Real Women Have Curves,Soledad St. Hilaire,f,Pancha,2002
Real Women Have Curves,Lourdes Perez Nido,f,Rosali,2002
Real Women Have Curves,Jorge Cervera Jr.,m,Raúl Garcia,2002
Real Women Have Curves,Felipe de Alba,m,Grandfather,2002
Real Women Have Curves,José Gerardo Zamora Jr.,m,Juan José,2002
Real Women Have Curves,Edgar Lujan,m,Juan Martin,2002
Real Women Have Curves,Lina Acosta,f,Norma,2002
Real Women Have Curves,Celina Belizan,f,Glitz Receptionist,2002
Real Women Have Curves,Ramona Garcia Coronado,f,Singing Woman,2002
Real Women Have Curves,Marlene Forte,f,Mrs. Glass,2002
Real Women Have Curves,Jim Ishida,m,Landlord,2002
Real Women Have Curves,Pete Leal,m,Dr. Lopez,2002
Real Women Have Curves,Josefina Lopez,f,Veronica,2002
Real Women Have Curves,Esmerelda McQuillan,f,Pharmacy Assistant,2002
Real Women Have Curves,Jose Tolentino,m,Mariachi,2002
Real Women Have Curves,Sandie Torres,f,Doña Carlota,2002
Real Women Have Curves,Dale E. Turner,m,Policeman,2002
Real Women Have Curves,Julia Vera,f,Doña Gorgonia,2002
Real Women Have Curves,Lisa Guzman,f,Girl #1,2002
Real Women Have Curves,Lackey Bevis,f,Girl #2,2002
Real Women Have Curves,Michelle Moretti,f,Girl #3,2002
Real Women Have Curves,Minerva García,f,Rita,2002
Real Women Have Curves,Mylo Ironbear,m,Cook,2002
A Heroine of '76,Lois Weber,f,The Tavern Keeper's Daughter,1911
A Heroine of '76,Phillips Smalley,m,The Tavern Keeper,1911
A Heroine of '76,Gordon Sackville,m,George Washington,1911
Barbra: The Music... The Mem'ries... The Magic!,Barbra Streisand,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Stephanie 'Stevvi' Alexander,f,Self / Background Singer,2017
Barbra: The Music... The Mem'ries... The Magic!,Alec Baldwin,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,James Brolin,m,Self / Barbra's Husband,2017
Barbra: The Music... The Mem'ries... The Magic!,Martin Erlichman,m,Self / Barbra's Manager,2017
Barbra: The Music... The Mem'ries... The Magic!,Jamie Foxx,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Anne Hathaway,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Christian Hebel,m,Self / Solo Violinist,2017
Barbra: The Music... The Mem'ries... The Magic!,Hugh Jackman,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Richard Jay-Alexander,,Self / Concert Co-Director,2017
Barbra: The Music... The Mem'ries... The Magic!,Andrea Jones,,Self / Background Singer,2017
Barbra: The Music... The Mem'ries... The Magic!,Amy Keys,f,Self / Background Singer,2017
Barbra: The Music... The Mem'ries... The Magic!,Jay Landers,,Self / Music Supervisor Show,2017
Barbra: The Music... The Mem'ries... The Magic!,Seth MacFarlane,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Melissa McCarthy,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Chris Pine,m,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Daisy Ridley,f,Self,2017
Barbra: The Music... The Mem'ries... The Magic!,Patrick Wilson,m,Self,2017
My Brilliant Career,Judy Davis,f,Sybylla Melvyn,1979
My Brilliant Career,Sam Neill,m,Harry Beecham,1979
My Brilliant Career,Wendy Hughes,f,Aunt Helen,1979
My Brilliant Career,Robert Grubb,m,Frank Hawdon,1979
My Brilliant Career,Max Cullen,m,Mr. McSwatt,1979
My Brilliant Career,Aileen Britton,f,Grandma Bossier,1979
My Brilliant Career,Peter Whitford,m,Uncle Julius,1979
My Brilliant Career,Patricia Kennedy,f,Aunt Gussie,1979
My Brilliant Career,Alan Hopgood,m,Father,1979
My Brilliant Career,Julia Blake,f,Mother,1979
My Brilliant Career,David Franklin,m,Horace,1979
My Brilliant Career,Marion Shad,f,Gertie,1979
My Brilliant Career,Arron Wood,m,Stanley,1979
My Brilliant Career,Sue Davies,f,Aurora,1979
My Brilliant Career,Gordon Piper,m,Barman,1979
My Brilliant Career,James Moss,m,Pub Drinker,1979
