director,film,actor,gender,space,role
Anahita Ghazvinizadeh,They,Rhys Fehrenbacher,m,0.0002,J
Anahita Ghazvinizadeh,They,Kooyar Hosseini Golkou,m,0.0002,Araz
Anahita Ghazvinizadeh,They,Nicole Coffineau,f,0.0002,Lauren
Anahita Ghazvinizadeh,They,Norma Moruzzi,f,0.0002,Mom
Anahita Ghazvinizadeh,They,Diana Torres,f,0.0002,Diana
Anahita Ghazvinizadeh,They,Evan Gray,m,0.0002,Boy 1
Anahita Ghazvinizadeh,They,Drew Sheil,m,0.0002,Boy 2
Anahita Ghazvinizadeh,They,Leyla Mofleh,f,0.0002,Negar
Anahita Ghazvinizadeh,They,Mohammad Aghebati,m,0.0002,Behrouz
Anahita Ghazvinizadeh,They,Alma Sinai,f,0.0002,Alma
Anahita Ghazvinizadeh,They,Arian Naghshineh,m,0.0002,Kian
Anahita Ghazvinizadeh,They,Ava Naghshineh,f,0.0002,Kimia
Anahita Ghazvinizadeh,They,Aerik Jahangiri,m,0.0002,Robert
Anahita Ghazvinizadeh,They,Farid Kossari,m,0.0002,Nima
Anahita Ghazvinizadeh,They,Kaveh Ehsani,m,0.0002,Sirooz
Anahita Ghazvinizadeh,They,Robert Garofalo,m,0.0002,Dr. Garofalo
Anahita Ghazvinizadeh,They,Eric Fehrenbacher,m,0.0002,
Anahita Ghazvinizadeh,They,Vicki Sheil,f,0.0002,
Anahita Ghazvinizadeh,What Remains,Rodrigo Brum,m,0.0002,
Anahita Ghazvinizadeh,What Remains,Farid Kossari,m,0.0002,
Anahita Ghazvinizadeh,What Remains,Kira Sekhar,f,0.0002,
Anahita Ghazvinizadeh,What Remains,Oliver Shelton,m,0.0002,
Anahita Ghazvinizadeh,What Remains,Alma Sinai,f,0.0002,Leila
Anahita Ghazvinizadeh,Needle,Meghan Moe Beitiks,f,0.0002,Ellie
Anahita Ghazvinizadeh,Needle,Noah Lepawsky,m,0.0002,Gordon
Anahita Ghazvinizadeh,Needle,Florence Winners,f,0.0002,Lilly
