actor,director,gender
Whoopi Goldberg,Agnieszka Holland,f
Whoopi Goldberg,Dee Rees,f
Whoopi Goldberg,Penelope Spheeris,f
Whoopi Goldberg,Susan Seidelman,f
Mark Neveldine,Agnieszka Holland,m
Mark Neveldine,Nicole Holofcener,m
Nick Scoggin,Agnieszka Holland,m
Nick Scoggin,Lana Wachowski,m
Nick Scoggin,Lilly Wachowski,m
Kim Staunton,Agnieszka Holland,f
Kim Staunton,Mary Harron,f
Ron Yuan,Agnieszka Holland,m
Ron Yuan,Niki Caro,m
Ron Yuan,Martha Coolidge,m
Dominic West,Agnieszka Holland,m
Dominic West,Allison Anders,m
John Doman,Agnieszka Holland,m
John Doman,Lynne Ramsay,m
John Doman,Allison Anders,m
Wendell Pierce,Agnieszka Holland,m
Wendell Pierce,Mary Harron,m
Wendell Pierce,Ava DuVernay,m
Wendell Pierce,Dee Rees,m
Wendell Pierce,Donna Deitch,m
Sonja Sohn,Agnieszka Holland,f
Sonja Sohn,Cheryl Dunye,f
Sonja Sohn,Kasi Lemmons,f
Sonja Sohn,Allison Anders,f
Seth Gilliam,Agnieszka Holland,m
Seth Gilliam,Mary Harron,m
Seth Gilliam,Barbara Kopple,m
Domenick Lombardozzi,Agnieszka Holland,m
Domenick Lombardozzi,Nicole Holofcener,m
Clarke Peters,Agnieszka Holland,m
Clarke Peters,Kasi Lemmons,m
Clarke Peters,Allison Anders,m
Andre Royo,Agnieszka Holland,m
Andre Royo,Dee Rees,m
Michael Kenneth Williams,Agnieszka Holland,m
Michael Kenneth Williams,Mary Harron,m
Michael Kenneth Williams,Ava DuVernay,m
Michael Kenneth Williams,Cheryl Dunye,m
Michael Kenneth Williams,Dee Rees,m
Jim True-Frost,Agnieszka Holland,m
Jim True-Frost,Kathryn Bigelow,m
Frankie Faison,Agnieszka Holland,m
Frankie Faison,Cheryl Dunye,m
J.D. Williams,Agnieszka Holland,m
J.D. Williams,Mary Harron,m
J.D. Williams,Barbara Kopple,m
Wood Harris,Agnieszka Holland,m
Wood Harris,Dee Rees,m
Wood Harris,Allison Anders,m
Idris Elba,Agnieszka Holland,m
Idris Elba,Amy Heckerling,m
Jamie Hector,Agnieszka Holland,m
Jamie Hector,Donna Deitch,m
Gbenga Akinnagbe,Agnieszka Holland,m
Gbenga Akinnagbe,Mary Harron,m
Gbenga Akinnagbe,Kathryn Bigelow,m
Gbenga Akinnagbe,Donna Deitch,m
Gbenga Akinnagbe,Tamara Jenkins,m
Gbenga Akinnagbe,Martha Coolidge,m
Robert Wisdom,Agnieszka Holland,m
Robert Wisdom,Mary Harron,m
Chad L. Coleman,Agnieszka Holland,m
Chad L. Coleman,Catherine Hardwick,m
Michael Kostroff,Agnieszka Holland,m
Michael Kostroff,Kasi Lemmons,m
Isiah Whitlock Jr.,Agnieszka Holland,m
Isiah Whitlock Jr.,Allison Anders,m
Isiah Whitlock Jr.,Joan Micklin Silver,m
