actor,film,gender
Alma Sinai,They,f
Alma Sinai,What Remains,f
Farid Kossari,They,m
Farid Kossari,What Remains,m
Whoopi Goldberg,Golden Dreams,f
Whoopi Goldberg,When We Rise,f
Whoopi Goldberg,The Little Rascals,f
Whoopi Goldberg,The Electric Company (2009-2010),f
Mark Neveldine,Golden Dreams,m
Mark Neveldine,Walking and Talking,m
Nick Scoggin,Golden Dreams,m
Nick Scoggin,The Matrix Reloaded,m
Kim Staunton,Golden Dreams,f
Kim Staunton,The Nine,f
Ron Yuan,Golden Dreams,m
Ron Yuan,Mulan,m
Ron Yuan,Siren,m
Dominic West,The Wire (2004-2008),m
Dominic West,The Affair,m
John Doman,The Wire (2004-2008),m
John Doman,The Affair,m
John Doman,You Were Never Really Here,m
Wendell Pierce,The Wire (2004-2008),m
Wendell Pierce,Treme (2010-2013),m
Wendell Pierce,Fear Itself,m
Wendell Pierce,Selma,m
Wendell Pierce,Pariah,m
Wendell Pierce,Moloney,m
Sonja Sohn,The Wire (2004-2008),f
Sonja Sohn,Cold Case (2004-2009),f
Sonja Sohn,The Chi,f
Sonja Sohn,Luke Cage,f
Sonja Sohn,Cold Case,f
Seth Gilliam,The Wire (2004-2008),m
Seth Gilliam,Oz,m
Domenick Lombardozzi,The Wire (2004-2008),m
Domenick Lombardozzi,Mrs. Fletcher,m
Clarke Peters,The Wire (2004-2008),m
Clarke Peters,Treme (2010-2013),m
Clarke Peters,Harriet,m
Clarke Peters,The Divide,m
Andre Royo,The Wire (2004-2008),m
Andre Royo,Empire,m
Michael Kenneth Williams,The Wire (2004-2008),m
Michael Kenneth Williams,Six Degrees,m
Michael Kenneth Williams,When They See Us,m
Michael Kenneth Williams,Lovecraft Country,m
Michael Kenneth Williams,Bessie,m
Michael Kenneth Williams,When We Rise,m
Jim True-Frost,The Wire (2004-2008),m
Jim True-Frost,Karen Sisco,m
Frankie Faison,The Wire (2004-2008),m
Frankie Faison,The Village,m
J.D. Williams,The Wire (2004-2008),m
J.D. Williams,Oz,m
Wood Harris,The Wire (2004-2008),m
Wood Harris,Empire,m
Wood Harris,Southland (2011-2012),m
Idris Elba,The Wire (2004-2008),m
Idris Elba,The Office,m
Jamie Hector,The Wire (2004-2008),m
Jamie Hector,Heroes,m
Gbenga Akinnagbe,The Wire (2004-2008),m
Gbenga Akinnagbe,The Following,m
Gbenga Akinnagbe,Graceland,m
Gbenga Akinnagbe,Detroit,m
Gbenga Akinnagbe,A Gifted Man,m
Gbenga Akinnagbe,The Savages,m
Gbenga Akinnagbe,The Unknown,m
Robert Wisdom,The Wire (2004-2008),m
Robert Wisdom,The Nine,m
Chad L. Coleman,The Wire (2004-2008),m
Chad L. Coleman,The Black Ghiandola,m
Michael Kostroff,The Wire (2004-2008),m
Michael Kostroff,Luke Cage,m
Isiah Whitlock Jr.,The Wire (2004-2008),m
Isiah Whitlock Jr.,The Divide,m
Isiah Whitlock Jr.,A Fish in the Bathtub,m
Reg E. Cathey,The Wire (2004-2008),m
Reg E. Cathey,House of Cards (2015-2017),m
Reg E. Cathey,American Psycho,m
Reg E. Cathey,Luke Cage,m
Reg E. Cathey,The Divide,m
Reg E. Cathey,Crossing Delancey,m
Tristan Mack Wilds,The Wire (2004-2008),m
Tristan Mack Wilds,Shots Fired,m
Tristan Mack Wilds,The Secret Life of Bees,m
Glynn Turman,The Wire (2004-2008),m
Glynn Turman,August 28th,m
Glynn Turman,The Bernie Mac Show,m
Glynn Turman,Graves,m
Glynn Turman,Proof,m
Amy Ryan,The Wire (2004-2008),f
Amy Ryan,The Office,f
Al Brown,The Wire (2004-2008),m
Al Brown,Shot in the Heart,m
Brian Anthony Wilson,The Wire (2004-2008),m
